               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15023,             0.11286,            0.073294,             0.21292,            0.074973,          2.2243e-05,           0.0020215,           0.0004809,             0.14064,             0.16964,            0.071201,             0.21128,             0.00117,             0.00117,             0.08947
                   1,             0.13985,             0.13641,            0.067126,             0.20721,           0.0047832,             0.02336,           0.0027266,          0.00065853,             0.12803,              0.2064,            0.063145,             0.20897,            0.002304,            0.002304,            0.078804
                   2,             0.12977,             0.15988,            0.059118,             0.20453,            0.016764,            0.093134,            0.015551,           0.0038394,             0.11762,             0.22544,            0.056396,             0.20446,           0.0032603,           0.0032603,             0.06796
                   3,             0.12479,             0.17624,            0.054239,             0.20114,              0.6236,            0.064531,             0.03602,           0.0082755,             0.11271,             0.23531,            0.052058,             0.20084,           0.0039334,           0.0039334,            0.056833
                   4,             0.11943,             0.18251,            0.050672,             0.19934,             0.67668,            0.089196,            0.050136,            0.013347,             0.10748,             0.26162,             0.04824,             0.19958,            0.004262,            0.004262,            0.045362
                   5,             0.11853,             0.19917,            0.048203,             0.19763,              0.7174,            0.093502,            0.069863,            0.021427,              0.1045,               0.264,            0.046855,              0.1977,            0.004242,            0.004242,            0.033542
                   6,             0.11684,             0.21313,            0.046103,             0.19672,              0.6818,             0.11673,            0.050171,            0.013093,             0.10328,             0.28116,            0.043519,              0.1967,           0.0039302,           0.0039302,             0.02143
                   7,             0.11359,             0.21757,            0.044405,             0.19579,             0.72246,             0.11443,            0.080335,            0.023208,             0.10368,             0.27278,            0.044922,             0.19563,           0.0034409,           0.0034409,           0.0091409
                   8,             0.11156,             0.21667,            0.043757,             0.19512,              0.6998,             0.12067,            0.076994,            0.023061,            0.099215,             0.27566,            0.043571,             0.19505,           0.0027639,           0.0027639,           0.0027639
                   9,             0.10994,             0.20794,            0.043909,             0.19461,             0.76848,             0.10874,             0.07037,            0.018326,            0.099362,              0.2687,             0.04227,             0.19411,           0.0027639,           0.0027639,           0.0027639
